コード,市などの別,都道府県,市区町村,年,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90歳以上
1000,a,北海道,,2015年,2537089,95162,103698,111983,123634,119135,124176,142848,167539,194326,170351,166708,166354,197024,208566,151702,125416,96332,51609,20526
1000,a,北海道,,2020年,2450741,87788,95505,103944,110837,113080,111365,124141,142546,167075,192946,167933,163404,161688,187412,192644,133053,99942,64453,30985
1000,a,北海道,,2025年,2349072,77399,88351,95980,102784,101685,106229,111423,124052,142501,166426,190530,165093,159883,154436,173557,170888,107635,68512,41708
1000,a,北海道,,2030年,2237829,71511,77975,88880,95230,94523,95811,105974,110973,123966,142158,164643,187486,162268,153417,143769,154499,140800,75246,48700
1000,a,北海道,,2035年,2118735,66285,72074,78519,88260,87955,89498,95667,105236,110615,123703,140754,162244,184510,156331,143494,128953,127835,101050,55752
1000,a,北海道,,2040年,1992402,60885,66825,72622,78041,81570,83519,89701,94989,104620,110260,122534,138858,159983,178057,146839,129540,108029,92096,73434
1000,a,北海道,,2045年,1864961,55770,61372,67342,72205,72170,77449,83831,89319,94451,104083,109118,120971,137241,154772,167609,133322,109728,79269,74939
1100,1,北海道,札幌市,2015年,910614,36278,37473,39246,45213,49341,51186,58122,66046,75209,65705,60792,57396,66140,69495,48488,36501,27178,14892,5913
1100,1,北海道,札幌市,2020年,916244,34607,37184,38998,42134,48679,45745,51784,58828,66485,75625,65330,60600,57175,63642,65228,43826,30655,20053,9666
1100,1,北海道,札幌市,2025年,912177,31786,35481,38624,41528,45248,45341,46413,52352,59184,66912,75164,65218,60659,55141,59817,59358,37131,22952,13868
1100,1,北海道,札幌市,2030年,899983,30570,32535,36829,40912,44113,42278,45731,46758,52574,59514,66428,74957,65449,58662,52001,54530,50863,28049,17230
