コード,市などの別,都道府県,市区町村,年,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90歳以上
1000,a,北海道,,2015年,5381733,186275,202560,220346,239838,236121,249312,289224,338976,393142,352506,347538,345517,414969,450788,343387,294661,239796,150590,86187
1000,a,北海道,,2020年,5216615,171236,187241,203081,217852,222995,223678,248222,288686,337802,390122,349286,342532,338306,400511,426446,314227,252758,181633,120001
1000,a,北海道,,2025年,5016554,150977,172531,188169,200850,203474,212136,222814,248074,288446,336147,386985,345164,337085,327582,379682,393267,272905,195526,154740
1000,a,北海道,,2030年,4791592,139491,152274,173542,186685,188223,194202,210601,222207,247845,287475,333924,382723,340833,327441,311732,350988,345706,214687,181013
1000,a,北海道,,2035年,4546357,129292,140762,153328,172366,175730,180263,193034,209350,221682,247085,285844,330586,378290,332069,312629,289769,309238,276849,208191
1000,a,北海道,,2040年,4280427,118765,130509,141812,152458,162569,168783,179534,191941,208341,220888,245785,283261,327221,368964,318038,292020,257533,247999,264006
1000,a,北海道,,2045年,4004973,108788,119873,131516,141100,143992,156220,168379,178862,191105,207304,219693,243737,280873,319777,353854,298411,261684,209233,270572
1100,1,北海道,札幌市,2015年,1952356,70754,73595,77166,89467,101607,107494,121577,136829,156040,138815,130204,122061,140227,150658,109167,86853,70422,44460,24960
1100,1,北海道,札幌市,2020年,1974801,67504,72735,76504,83883,99640,97964,107482,122774,138405,157682,139446,130145,121608,137026,144919,103045,78438,58302,37299
1100,1,北海道,札幌市,2025年,1976367,62000,69353,75489,82483,93346,96402,98016,108461,124110,139992,158298,139566,130106,119011,131963,137223,93521,65736,51291
1100,1,北海道,札幌市,2030年,1959483,59630,63599,71903,80943,90756,90532,95965,98587,109479,125400,140421,158344,139806,127480,114849,125039,125204,78816,62730
1100,1,北海道,札幌市,2035年,1924460,57162,61068,65874,76895,88162,88074,90163,96052,99326,110532,125713,140348,158569,137205,123157,109190,114008,106357,76605
1100,1,北海道,札幌市,2040年,1870991,54184,58446,63181,70243,83431,85545,87869,90219,96424,100297,110797,125625,140545,155666,132777,117354,100154,96514,101720
1100,1,北海道,札幌市,2045年,1805120,51119,55321,60409,67156,75828,80969,85351,88029,90546,97173,100609,110740,125875,138127,150762,126876,108185,85576,106469
1101,0,北海道,札幌市 中央区,2015年,237627,8216,7778,8005,9963,13738,16766,18117,18835,20633,18864,16891,14372,14412,15290,10788,8761,7926,5185,3087
1101,0,北海道,札幌市 中央区,2020年,250176,8204,8270,8380,9692,14337,15586,16766,18388,19423,21700,19232,17092,14268,14152,14717,10303,8205,6643,4818
1101,0,北海道,札幌市 中央区,2025年,259039,7841,8176,8763,9852,13646,16209,15752,16821,18544,20157,22037,19428,16903,13882,13598,14009,9726,7052,6643
1101,0,北海道,札幌市 中央区,2030年,264549,7781,7745,8605,10051,13374,15413,16131,15826,16831,18971,20262,22197,19225,16378,13256,12911,13179,8433,7980
1101,0,北海道,札幌市 中央区,2035年,266687,7626,7646,8110,9771,13184,14990,15291,16081,15826,17135,18921,20259,21933,18635,15585,12515,12080,11434,9665
1101,0,北海道,札幌市 中央区,2040年,265576,7357,7481,7977,9122,12629,14611,14832,15220,16009,16099,17052,18825,19942,21256,17739,14669,11627,10398,12731
1101,0,北海道,札幌市 中央区,2045年,261704,7028,7213,7791,8898,11611,13957,14402,14754,15143,16235,16031,16946,18490,19304,20246,16716,13585,9956,13398
1102,0,北海道,札幌市 北区,2015年,285321,10124,11318,11866,14650,18169,14979,16479,19272,22587,19653,18126,17294,20718,22114,15969,12747,9749,6078,3429
1102,0,北海道,札幌市 北区,2020年,289554,9814,10976,11691,13683,18402,14128,14640,17090,19963,22909,19962,18288,17393,20510,21278,14959,11178,7895,4795
1102,0,北海道,札幌市 北区,2025年,290737,9131,10628,11358,13391,17219,14292,13751,15218,17770,20292,23198,20188,18531,17299,19725,20006,13208,9113,6419
1102,0,北海道,札幌市 北区,2030年,289404,8862,9876,10985,12974,16643,13390,13886,14223,15818,18083,20544,23400,20531,18483,16706,18527,17780,10854,7839
1102,0,北海道,札幌市 北区,2035年,285680,8602,9583,10198,12488,16028,12956,13006,14328,14751,16090,18323,20706,23762,20523,17881,15777,16425,14717,9536
1102,0,北海道,札幌市 北区,2040年,279225,8238,9299,9891,11537,15298,12469,12607,13416,14825,14999,16305,18482,21018,23732,19886,16933,14108,13493,12689
1102,0,北海道,札幌市 北区,2045年,270974,7824,8905,9591,11140,13998,11883,12159,13033,13880,15040,15206,16454,18785,21010,22999,18880,15221,11743,13223
1103,0,北海道,札幌市 東区,2015年,261912,10218,10110,10418,12192,13903,15371,17498,19193,22018,18999,16679,15418,18093,19582,14118,11023,8653,5499,2927
1103,0,北海道,札幌市 東区,2020年,265450,9833,10002,10278,11480,14006,14487,15532,17175,19080,22075,19072,16701,15334,17641,18774,13099,9882,6787,4212
1103,0,北海道,札幌市 東区,2025年,266542,9103,9631,10159,11246,13163,14593,14577,15295,17101,19228,22101,19045,16685,15002,16945,17480,11789,7838,5561
1103,0,北海道,札幌市 東区,2030年,265394,8856,8913,9777,11050,12740,13694,14652,14314,15224,17231,19287,22027,19017,16345,14457,15802,15814,9416,6778
1103,0,北海道,札幌市 東区,2035年,261908,8592,8663,9043,10599,12375,13262,13734,14345,14222,15332,17285,19237,21963,18624,15759,13542,14303,12758,8270
1103,0,北海道,札幌市 東区,2040年,256072,8231,8401,8782,9771,11799,12839,13323,13437,14216,14313,15378,17243,19201,21501,17952,14786,12346,11531,11022
1103,0,北海道,札幌市 東区,2045年,248709,7812,8044,8510,9450,10798,12220,12869,13038,13309,14279,14361,15348,17225,18830,20730,16857,13525,10070,11434
1104,0,北海道,札幌市 白石区,2015年,209584,8331,7649,7637,8484,10615,13387,14966,16335,17876,15601,14220,12473,13813,14700,10967,8862,7166,4220,2282
1104,0,北海道,札幌市 白石区,2020年,212980,8000,7609,7616,8113,10660,12505,13356,14343,15743,17846,15854,14213,12374,13330,14170,10334,7776,5816,3322
1104,0,北海道,札幌市 白石区,2025年,214350,7385,7311,7569,8025,10109,12472,12442,12872,13925,15758,18111,15843,14083,11944,12875,13410,9134,6436,4646
1104,0,北海道,札幌市 白石区,2030年,213756,7155,6750,7269,7928,9822,11810,12324,11925,12475,13983,15986,18080,15717,13572,11537,12205,11946,7622,5650
1104,0,北海道,札幌市 白石区,2035年,211405,6936,6541,6709,7595,9571,11476,11679,11757,11555,12505,14217,15946,17922,15160,13072,10949,10883,10080,6852
1104,0,北海道,札幌市 白石区,2040年,207066,6638,6337,6496,6988,9105,11110,11368,11126,11362,11577,12702,14203,15805,17292,14608,12383,9802,9162,9002
1104,0,北海道,札幌市 白石区,2045年,201308,6299,6062,6289,6743,8310,10551,10980,10860,10741,11389,11767,12687,14103,15265,16671,13854,11098,8290,9349
1105,0,北海道,札幌市 豊平区,2015年,218652,8277,7738,7857,9411,12244,14215,15526,16377,17983,16013,14460,12909,14072,15257,11421,9461,7892,4855,2684
1105,0,北海道,札幌市 豊平区,2020年,223197,8056,7974,7877,8870,12048,13085,14323,15188,16224,18077,16065,14542,12722,13533,14498,10944,8528,6628,4015
1105,0,北海道,札幌市 豊平区,2025年,225491,7556,7742,8067,8785,11360,12928,13291,13882,14960,16290,18140,16152,14340,12232,12893,13994,9954,7305,5620
1105,0,北海道,札幌市 豊平区,2030年,225883,7418,7234,7815,8861,11116,12176,13127,12914,13582,14951,16296,18239,15951,13783,11658,12474,12860,8591,6837
1105,0,北海道,札幌市 豊平区,2035年,224265,7229,7079,7288,8538,10923,11910,12357,12784,12638,13517,14908,16338,18014,15348,13130,11275,11482,11247,8260
1105,0,北海道,札幌市 豊平区,2040年,220498,6936,6886,7117,7913,10413,11693,12089,12028,12514,12577,13441,14914,16113,17346,14635,12672,10401,10035,10775
1105,0,北海道,札幌市 豊平区,2045年,214933,6589,6603,6915,7680,9533,11126,11764,11707,11769,12448,12516,13428,14701,15520,16562,14138,11700,9115,11119
1106,0,北海道,札幌市 南区,2015年,141190,4138,4760,5374,6930,6695,5646,6369,7604,9024,8662,9528,9584,11830,13318,9866,8227,6936,4303,2396
1106,0,北海道,札幌市 南区,2020年,136143,3667,4519,5028,5907,5954,4909,5211,6416,7743,8886,8438,9377,9556,11489,12760,9332,7522,5810,3619
1106,0,北海道,札幌市 南区,2025年,130103,3168,4051,4807,5537,5079,4353,4528,5282,6589,7682,8674,8334,9422,9319,11053,12141,8612,6402,5070
1106,0,北海道,札幌市 南区,2030年,123342,2865,3520,4323,5328,4769,3718,4000,4577,5436,6563,7531,8581,8413,9228,9028,10568,11291,7427,6176
1106,0,北海道,札幌市 南区,2035年,115718,2575,3196,3765,4791,4615,3502,3423,4024,4694,5420,6453,7474,8676,8267,8991,8711,9875,9846,7420
1106,0,北海道,札幌市 南区,2040年,107107,2300,2880,3423,4172,4148,3398,3238,3448,4111,4672,5334,6421,7585,8539,8079,8744,8257,8649,9709
1106,0,北海道,札幌市 南区,2045年,98161,2034,2577,3086,3788,3607,3056,3161,3275,3526,4078,4592,5314,6536,7488,8361,7893,8402,7378,10009
1107,0,北海道,札幌市 西区,2015年,213578,8228,8099,8520,8799,8953,11066,13464,15171,17390,15489,14410,13362,15639,16783,12417,9936,8052,5086,2714
1107,0,北海道,札幌市 西区,2020年,215258,7796,8199,8427,8503,8617,9799,11701,13644,15306,17500,15449,14233,13315,15122,16051,11720,9098,6768,4010
1107,0,北海道,札幌市 西区,2025年,214889,7121,7809,8500,8377,8337,9421,10353,11943,13799,15462,17488,15328,14279,12921,14487,15229,10788,7719,5528
1107,0,北海道,札幌市 西区,2030年,212866,6852,7160,8104,8401,8166,9141,9927,10573,12122,13940,15465,17365,15453,13897,12421,13762,14121,9210,6786
1107,0,北海道,札幌市 西区,2035年,209203,6585,6906,7439,8005,8087,9013,9653,10096,10775,12267,13942,15351,17526,15093,13385,11855,12753,12190,8282
1107,0,北海道,札幌市 西区,2040年,203866,6289,6653,7178,7339,7689,8995,9571,9832,10268,10959,12290,13839,15493,17129,14575,12808,11065,10974,10920
1107,0,北海道,札幌市 西区,2045年,197708,6029,6359,6917,7069,7025,8558,9630,9795,10008,10431,11028,12219,13975,15160,16561,14000,12013,9628,11303
1108,0,北海道,札幌市 厚別区,2015年,127767,3954,4723,5315,6119,5622,5734,6310,7548,9388,8949,8940,9038,10357,11217,8342,6594,4951,3039,1627
1108,0,北海道,札幌市 厚別区,2020年,125949,3548,4362,4968,5301,5188,4728,5486,6482,7712,9508,8945,8909,9129,10345,11095,7866,5848,3955,2574
1108,0,北海道,札幌市 厚別区,2025年,122720,3056,3928,4614,4948,4486,4339,4511,5660,6656,7870,9519,8929,9068,9133,10244,10508,7001,4672,3578
1108,0,北海道,札幌市 厚別区,2030年,118177,2772,3395,4159,4597,4177,3752,4106,4631,5818,6812,7914,9514,9115,9135,9057,9713,9422,5613,4475
1108,0,北海道,札幌市 厚別区,2035年,112474,2506,3084,3599,4142,3878,3497,3553,4182,4742,5957,6865,7934,9722,9240,9107,8616,8713,7635,5502
1108,0,北海道,札幌市 厚別区,2040年,105693,2214,2789,3268,3580,3490,3259,3315,3618,4255,4836,6009,6897,8134,9868,9275,8715,7774,7047,7350
1108,0,北海道,札幌市 厚別区,2045年,98283,1966,2463,2953,3244,3011,2931,3106,3381,3679,4316,4864,6043,7091,8285,9958,8935,7936,6345,7776
1109,0,北海道,札幌市 手稲区,2015年,140999,5137,6035,6220,6907,6484,5917,7371,9226,10294,8665,8844,9460,11755,12665,8740,6408,5069,3552,2250
1109,0,北海道,札幌市 手稲区,2020年,141486,4837,5913,6412,6538,5905,5131,6056,7969,9501,10347,8708,8862,9478,11584,12251,8264,5859,4388,3483
1109,0,北海道,札幌市 手稲区,2025年,140345,4364,5596,6286,6666,5591,4654,5222,6562,8262,9516,10405,8749,8928,9390,11219,11591,7520,5095,4729
1109,0,北海道,札幌市 手稲区,2030年,137711,4094,5074,5954,6519,5702,4415,4704,5621,6891,8301,9557,10473,8846,8884,9140,10621,10576,6487,5852
1109,0,北海道,札幌市 手稲区,2035年,133690,3839,4789,5407,6171,5559,4518,4473,5029,5873,6970,8354,9643,10607,8826,8720,8714,9688,9158,7352
1109,0,北海道,札幌市 手稲区,2040年,128513,3585,4500,5116,5601,5256,4422,4593,4791,5227,5983,7040,8444,9794,10601,8712,8403,8032,8367,10046
1109,0,北海道,札幌市 手稲区,2045年,122601,3371,4205,4820,5298,4765,4178,4530,4938,4985,5304,6044,7121,8596,9818,10456,8473,7864,7048,10787
1110,0,北海道,札幌市 清田区,2015年,115726,4131,5385,5954,6012,5184,4413,5477,7268,8847,7920,8106,8151,9538,9732,6539,4834,4028,2643,1564
1110,0,北海道,札幌市 清田区,2020年,114608,3749,4911,5827,5796,4523,3606,4411,6079,7710,8834,7721,7928,8039,9320,9325,6224,4542,3612,2451
1110,0,北海道,札幌市 清田区,2025年,112151,3275,4481,5366,5656,4356,3141,3589,4926,6504,7737,8625,7570,7867,7889,8924,8855,5789,4104,3497
1110,0,北海道,札幌市 清田区,2030年,108401,2975,3932,4912,5234,4247,3023,3108,3983,5282,6565,7579,8468,7538,7775,7589,8456,8215,5163,4357
1110,0,北海道,札幌市 清田区,2035年,103430,2672,3581,4316,4795,3942,2950,2994,3426,4250,5339,6445,7460,8444,7489,7527,7236,7806,7292,5466
1110,0,北海道,札幌市 清田区,2040年,97375,2396,3220,3933,4220,3604,2749,2933,3303,3637,4282,5246,6357,7460,8402,7316,7241,6742,6858,7476
1110,0,北海道,札幌市 清田区,2045年,90739,2167,2890,3537,3846,3170,2509,2750,3248,3506,3653,4200,5180,6373,7447,8218,7130,6841,6003,8071
1202,2,北海道,函館市,2015年,265979,8161,8952,10021,11519,10465,11074,12774,15451,18540,17039,16704,17500,21563,24530,18857,16279,13458,8430,4662
1202,2,北海道,函館市,2020年,249794,7237,8095,8876,9953,9544,9506,10795,12714,15320,18289,16922,16383,17124,20700,22656,16776,13339,9350,6215
1202,2,北海道,函館市,2025年,232653,6143,7195,8052,8803,8242,8658,9270,10768,12651,15189,18185,16631,16099,16489,19169,20303,13873,9431,7502
1202,2,北海道,函館市,2030年,215148,5485,6121,7163,7997,7278,7485,8421,9238,10721,12570,15150,17882,16382,15549,15330,17228,16996,9941,8211
1202,2,北海道,函館市,2035年,197467,4904,5472,6099,7108,6624,6621,7288,8371,9184,10654,12560,14926,17627,15855,14498,13853,14471,12409,8943
1202,2,北海道,函館市,2040年,179807,4313,4897,5454,6047,5874,6047,6455,7248,8301,9114,10652,12393,14741,17074,14810,13154,11737,10606,10890
