コード,市などの別,都道府県,市区町村,年,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90歳以上
1000,a,北海道,,2015年,2844644,91113,98862,108363,116204,116986,125136,146376,171437,198816,182155,180830,179163,217945,242222,191685,169245,143464,98981,65661
1000,a,北海道,,2020年,2765874,83448,91736,99137,107015,109915,112313,124081,146140,170727,197176,181353,179128,176618,213099,233802,181174,152816,117180,89016
1000,a,北海道,,2025年,2667482,73578,84180,92189,98066,101789,105907,111391,124022,145945,169721,196455,180071,177202,173146,206125,222379,165270,127014,113032
1000,a,北海道,,2030年,2553763,67980,74299,84662,91455,93700,98391,104627,111234,123879,145317,169281,195237,178565,174024,167963,196489,204906,139441,132313
1000,a,北海道,,2035年,2427622,63007,68688,74809,84106,87775,90765,97367,104114,111067,123382,145090,168342,193780,175738,169135,160816,181403,175799,152439
1000,a,北海道,,2040年,2288025,57880,63684,69190,74417,80999,85264,89833,96952,103721,110628,123251,144403,167238,190907,171199,162480,149504,155903,190572
1000,a,北海道,,2045年,2140012,53018,58501,64174,68895,71822,78771,84548,89543,96654,103221,110575,122766,143632,165005,186245,165089,151956,129964,195633
1100,1,北海道,札幌市,2015年,1041742,34476,36122,37920,44254,52266,56308,63455,70783,80831,73110,69412,64665,74087,81163,60679,50352,43244,29568,19047
1100,1,北海道,札幌市,2020年,1058557,32897,35551,37506,41749,50961,52219,55698,63946,71920,82057,74116,69545,64433,73384,79691,59219,47783,38249,27633
1100,1,北海道,札幌市,2025年,1064190,30214,33872,36865,40955,48098,51061,51603,56109,64926,73080,83134,74348,69447,63870,72146,77865,56390,42784,37423
1100,1,北海道,札幌市,2030年,1059500,29060,31064,35074,40031,46643,48254,50234,51829,56905,65886,73993,83387,74357,68818,62848,70509,74341,50767,45500
1100,1,北海道,札幌市,2035年,1044533,27856,29828,32140,37985,45165,46685,47516,50206,52467,57706,66660,74150,83397,73761,67691,61529,67236,67333,55222
1100,1,北海道,札幌市,2040年,1018380,26406,28547,30830,34699,42687,45149,45959,47487,50653,53168,58378,66774,74138,82746,72631,66307,58868,60699,72254
1100,1,北海道,札幌市,2045年,984129,24912,27023,29481,33174,38793,42663,44490,45952,47903,51245,53799,58497,66771,73601,81535,71306,63604,53493,75887
1101,0,北海道,札幌市 中央区,2015年,129871,4021,3813,3977,5284,7729,9076,9616,9884,11022,10038,9063,7556,7703,8454,6282,5352,5077,3517,2407
1101,0,北海道,札幌市 中央区,2020年,137114,3998,4057,4144,5156,8014,8569,8874,9683,10323,11532,10351,9234,7527,7764,8354,6218,5230,4451,3635
1101,0,北海道,札幌市 中央区,2025年,142398,3821,3997,4335,5208,7665,8795,8411,8837,9915,10711,11849,10529,9134,7519,7662,8240,6117,4714,4939
1101,0,北海道,札幌市 中央区,2030年,145911,3792,3785,4242,5300,7482,8383,8544,8369,8983,10166,10925,12029,10415,9047,7371,7535,8078,5550,5915
1101,0,北海道,札幌市 中央区,2035年,147656,3716,3736,3997,5131,7364,8129,8135,8454,8493,9171,10298,11026,11888,10307,8806,7202,7345,7344,7114
1101,0,北海道,札幌市 中央区,2040年,147628,3585,3655,3930,4783,7032,7921,7870,8044,8548,8659,9270,10343,10860,11758,10022,8543,6963,6630,9212
1101,0,北海道,札幌市 中央区,2045年,145948,3425,3524,3838,4659,6457,7546,7645,7776,8130,8695,8754,9301,10162,10722,11433,9721,8195,6253,9712
1102,0,北海道,札幌市 北区,2015年,150787,4914,5602,5869,7169,8638,7800,8598,10024,11545,10352,9489,9118,10893,12015,8838,7279,5953,4052,2639
1102,0,北海道,札幌市 北区,2020年,153904,4783,5381,5823,6880,8615,7423,7652,8931,10403,11849,10545,9605,9217,10922,11817,8605,6711,5137,3605
1102,0,北海道,札幌市 北区,2025年,155452,4450,5224,5610,6761,8243,7408,7262,7949,9301,10672,12053,10683,9772,9268,10749,11504,7963,5842,4738
1102,0,北海道,札幌市 北区,2030年,155482,4319,4854,5436,6508,7983,7068,7240,7520,8266,9550,10834,12201,10885,9845,9144,10462,10670,6967,5730
1102,0,北海道,札幌市 北区,2035年,154057,4192,4710,5046,6269,7664,6822,6896,7486,7800,8477,9701,10944,12425,10972,9722,8930,9690,9361,6950
1102,0,北海道,札幌市 北区,2040年,150979,4015,4570,4894,5790,7315,6552,6643,7124,7753,7987,8608,9805,11128,12522,10835,9513,8317,8462,9146
1102,0,北海道,札幌市 北区,2045年,146771,3813,4376,4745,5589,6697,6238,6387,6858,7375,7931,8107,8701,9979,11212,12370,10611,8897,7334,9551
1103,0,北海道,札幌市 東区,2015年,137263,5022,5005,5110,6026,7185,7863,8868,9713,11034,9637,8579,7897,9376,10506,7901,6404,5282,3672,2183
1103,0,北海道,札幌市 東区,2020年,139538,4792,4948,5056,5753,7153,7570,7761,8734,9644,11058,9786,8579,7855,9312,10320,7617,6082,4448,3070
1103,0,北海道,札幌市 東区,2025年,140590,4436,4734,4994,5644,6820,7543,7445,7684,8685,9699,11208,9769,8566,7829,9174,9972,7243,5154,3991
1103,0,北海道,札幌市 東区,2030年,140363,4316,4381,4778,5538,6598,7174,7410,7326,7649,8734,9841,11179,9749,8536,7737,8883,9513,6172,4849
1103,0,北海道,札幌市 東区,2035年,138791,4187,4258,4419,5285,6399,6908,7040,7281,7264,7693,8861,9818,11150,9704,8428,7523,8484,8187,5902
1103,0,北海道,札幌市 東区,2040年,135814,4011,4129,4291,4870,6080,6666,6763,6912,7209,7289,7808,8841,9799,11096,9568,8194,7231,7308,7749
1103,0,北海道,札幌市 東区,2045年,131972,3807,3953,4158,4708,5561,6327,6515,6635,6841,7226,7390,7797,8828,9763,10942,9298,7883,6299,8041
1104,0,北海道,札幌市 白石区,2015年,110564,3974,3750,3782,4185,5451,6898,7777,8256,9108,7999,7429,6507,7279,7810,6215,5192,4433,2752,1767
1104,0,北海道,札幌市 白石区,2020年,113078,3899,3660,3694,4036,5540,6468,6840,7378,7969,9157,8283,7473,6530,7188,7747,6050,4819,3886,2461
1104,0,北海道,札幌市 白石区,2025年,114410,3599,3575,3609,3923,5275,6511,6426,6518,7147,8044,9454,8328,7481,6443,7130,7585,5643,4296,3423
1104,0,北海道,札幌市 白石区,2030年,114673,3487,3301,3517,3821,5067,6188,6415,6118,6317,7221,8310,9492,8341,7355,6382,6974,7140,5065,4162
